hour,minute,second,Activity
11,11,37,r
11,11,43,s
11,11,52,w
11,11,56,s
11,12,1,w
11,12,29,s
11,12,36,w
11,12,40,s
11,13,3,r
11,13,20,w
11,13,52,r
11,14,9,s
11,14,13,r
11,14,27,s
11,14,35,r
11,14,37,s
11,14,48,r
11,15,8,m
11,15,43,m
11,16,34,s
11,16,38,w
11,16,50,r
11,17,32,w
11,17,44,r
11,17,48,w
11,18,35,s
11,18,39,w
11,18,46,r
11,18,49,s
11,18,59,m
11,19,14,w
11,19,22,s
11,19,38,r
11,19,48,r
11,19,58,w
11,19,58,s
11,20,5,w
11,20,18,s
11,20,33,r
11,20,50,s
11,20,58,r
11,21,4,s
11,21,10,w
11,21,35,s
11,21,45,w
11,22,0,s
11,22,48,i
11,23,26,w
11,23,40,s
11,23,50,w
11,23,58,s
11,24,8,i
11,24,12,e
11,24,14,w
11,24,28,s
11,25,0,w
11,25,10,s
11,25,25,e
11,25,55,w
11,25,59,s
11,26,6,m
11,26,11,w
11,26,20,s
11,26,45,e
11,27,0,s
11,27,15,w
11,27,45,s
11,28,14,w
11,28,17,s
11,28,24,e
11,28,29,w
11,28,38,s
11,29,4,w
11,29,18,s
11,29,24,r
11,29,44,s
11,30,11,i
11,31,13,w
11,31,14,s
11,32,50,i
11,33,25,f
11,33,45,w
11,33,47,s
